Frame, Time, dT, U, U0, U1, U2, V, V0, V1, V2, T0, T1, T2, N, N0, N1, N2, mfp, mct, P0, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19
72,2.310528,0.02612,9977.589,0,9977.589,0,8000,4.000092,7996,0,NaN,9.635295E+14,NaN,50000,0,50000,0,0.5400103,0.2704116,0,0,0,0,0,0,0.6440708,0,0,0,0.8197371,0.6889032,0.4612887,0.4170533,0,0,0,0,0.5201925,0
73,2.337143,0.026615,9977.588,0,9977.588,0,8000,4.000092,7996,0,NaN,9.635294E+14,NaN,50000,0,50000,0,0.5499656,0.2753503,0,0,0,0,0,0,0.4162428,0,0,0,0.5779771,0.6803173,0.429967,0.4958227,0,0,0,0,0.7180276,0
74,2.36364,0.0264973,9977.587,0,9977.587,0,8000,4.000092,7996,0,NaN,9.635293E+14,NaN,50000,0,50000,0,0.5632111,0.2819139,0,0,0,0,0,0,0.4439493,0,0,0,0.7204581,0.4695126,0.4341272,0.4654259,0,0,0,0,0.5923852,0
75,2.389807,0.0261673,9977.593,0,9977.593,0,8000,4.000092,7996,0,NaN,9.635299E+14,NaN,50000,0,50000,0,0.5749323,0.2878008,0,0,0,0,0,0,0.5593675,0,0,0,0.6471498,0.4809627,0.719135,0.3083017,0,0,0,0,0.6258875,0
76,2.416648,0.0268406,9977.594,0,9977.594,0,8000,4.000092,7996,0,NaN,9.6353E+14,NaN,50000,0,50000,0,0.5886747,0.2947426,0,0,0,0,0,0,0.3865891,0,0,0,0.5474666,0.607788,0.9054673,0.5447797,0,0,0,0,0.5713113,0
77,2.442766,0.0261181,9977.59,0,9977.59,0,8000,4.000092,7996,0,NaN,9.635296E+14,NaN,50000,0,50000,0,0.5999274,0.3003136,0,0,0,0,0,0,0.3893091,0,0,0,0.4952216,0.6341959,0.5446481,0.3722683,0,0,0,0,0.5541509,0
78,2.469465,0.0266992,9977.591,0,9977.591,0,8000,4.000092,7996,0,NaN,9.635297E+14,NaN,50000,0,50000,0,0.6146305,0.307664,0,0,0,0,0,0,0.5108715,0,0,0,0.5792025,0.5108219,0.5408458,0.5750366,0,0,0,0,0.3978865,0
79,2.495516,0.0260503,9977.582,0,9977.582,0,8000,4.000092,7996,0,NaN,9.635289E+14,NaN,50000,0,50000,0,0.6277313,0.3144448,0,0,0,0,0,0,0.6297426,0,0,0,0.4609918,0.675329,0.5802709,0.3892203,0,0,0,0,0.5512452,0
80,2.521708,0.0261924,9977.576,0,9977.576,0,8000,4.000092,7996,0,NaN,9.635283E+14,NaN,50000,0,50000,0,0.6397628,0.3204506,0,0,0,0,0,0,0.547968,0,0,0,0.7099419,0.5354729,0.5308382,0.4686308,0,0,0,0,0.6293588,0
81,2.548562,0.0268537,9977.568,0,9977.568,0,8000,4.000092,7996,0,NaN,9.635275E+14,NaN,50000,0,50000,0,0.6519471,0.3267448,0,0,0,0,0,0,0.6652902,0,0,0,0.6765279,0.336484,0.5472812,0.4628564,0,0,0,0,0.4938006,0
82,2.575178,0.026616,9977.565,0,9977.565,0,8000,4.000092,7996,0,NaN,9.635273E+14,NaN,50000,0,50000,0,0.664844,0.333178,0,0,0,0,0,0,0.5501584,0,0,0,0.8173127,0.6553029,0.5577625,0.4091588,0,0,0,0,0.464024,0
83,2.601668,0.0264904,9977.567,0,9977.567,0,8000,4.000092,7996,0,NaN,9.635275E+14,NaN,50000,0,50000,0,0.6771922,0.3394057,0,0,0,0,0,0,0.7107309,0,0,0,0.7152522,0.4294254,0.5044222,0.4638923,0,0,0,0,0.4197065,0
84,2.627961,0.0262929,9977.571,0,9977.571,0,8000,4.000092,7996,0,NaN,9.635278E+14,NaN,50000,0,50000,0,0.6890546,0.3455308,0,0,0,0,0,0,0.6012176,0,0,0,0.6267323,0.5959079,0.3184873,0.3632288,0,0,0,0,0.6207919,0
85,2.654337,0.0263759,9977.563,0,9977.563,0,8000,4.000092,7996,0,NaN,9.63527E+14,NaN,50000,0,50000,0,0.7031376,0.3529049,0,0,0,0,0,0,0.5773103,0,0,0,0.6887851,0.5083032,0.6114533,0.720614,0,0,0,0,0.707855,0
86,2.680251,0.0259137,9977.552,0,9977.552,0,8000,4.000092,7996,0,NaN,9.635259E+14,NaN,50000,0,50000,0,0.7138751,0.3583616,0,0,0,0,0,0,0.3727849,0,0,0,0.3012561,0.5241917,0.7177326,0.7002819,0,0,0,0,0.4119783,0
87,2.70652,0.0262691,9977.55,0,9977.55,0,8000,4.000092,7996,0,NaN,9.635258E+14,NaN,50000,0,50000,0,0.7279763,0.3658001,0,0,0,0,0,0,0.5181808,0,0,0,0.5833699,0.6834332,0.621973,0.5259422,0,0,0,0,0.5310367,0
88,2.73262,0.0261008,9977.553,0,9977.553,0,8000,4.000092,7996,0,NaN,9.635261E+14,NaN,50000,0,50000,0,0.7424312,0.3732855,0,0,0,0,0,0,0.8804736,0,0,0,0.6427263,0.7761353,0.3412176,0.5455469,0,0,0,0,0.572528,0
89,2.759011,0.0263903,9977.556,0,9977.556,0,8000,4.000092,7996,0,NaN,9.635263E+14,NaN,50000,0,50000,0,0.7568273,0.3803165,0,0,0,0,0,0,0.7735566,0,0,0,0.5448996,0.4901722,0.6992537,0.2199181,0,0,0,0,0.555089,0
90,2.785178,0.0261673,9977.557,0,9977.557,0,8000,4.000092,7996,0,NaN,9.635264E+14,NaN,50000,0,50000,0,0.7689675,0.386506,0,0,0,0,0,0,0.8296366,0,0,0,0.3473023,0.4497359,0.3519235,0.5992331,0,0,0,0,0.7307678,0
91,2.811321,0.026143,9977.554,0,9977.554,0,8000,4.000092,7996,0,NaN,9.635261E+14,NaN,50000,0,50000,0,0.7820609,0.393207,0,0,0,0,0,0,0.6072906,0,0,0,0.3858991,0.6671367,0.7025506,0.4849228,0,0,0,0,0.5025535,0
92,2.837529,0.0262079,9977.555,0,9977.555,0,8000,4.000092,7996,0,NaN,9.635263E+14,NaN,50000,0,50000,0,0.7954774,0.4000402,0,0,0,0,0,0,0.5326195,0,0,0,0.5802901,0.6469053,0.6841624,0.4981614,0,0,0,0,0.957039,0
93,2.863782,0.0262531,9977.557,0,9977.557,0,8000,4.000092,7996,0,NaN,9.635264E+14,NaN,50000,0,50000,0,0.8085122,0.4062931,0,0,0,0,0,0,0.7025706,0,0,0,0.6726888,0.7263969,0.423047,0.3236608,0,0,0,0,0.4001285,0
94,2.889853,0.0260705,9977.552,0,9977.552,0,8000,4.000092,7996,0,NaN,9.635259E+14,NaN,50000,0,50000,0,0.8206655,0.4124532,0,0,0,0,0,0,0.6040672,0,0,0,0.8876544,0.5506737,0.9181772,0.6146649,0,0,0,0,0.5870891,0
95,2.915932,0.0260795,9977.556,0,9977.556,0,8000,4.000092,7996,0,NaN,9.635263E+14,NaN,50000,0,50000,0,0.8335363,0.4191443,0,0,0,0,0,0,0.4641017,0,0,0,0.6854762,0.6138348,0.5430372,0.4539612,0,0,0,0,0.6217477,0
96,2.942107,0.0261752,9977.555,0,9977.555,0,8000,4.000092,7996,0,NaN,9.635263E+14,NaN,50000,0,50000,0,0.8476419,0.4263514,0,0,0,0,0,0,0.468494,0,0,0,0.5962633,0.8943258,0.3764734,0.5666363,0,0,0,0,0.6849098,0
97,2.968731,0.0266237,9977.549,0,9977.549,0,8000,4.000092,7996,0,NaN,9.635256E+14,NaN,50000,0,50000,0,0.859681,0.4326369,0,0,0,0,0,0,0.5904693,0,0,0,0.4435782,0.3698392,0.6015081,0.5259055,0,0,0,0,0.6209695,0
98,2.995042,0.0263111,9977.55,0,9977.55,0,8000,4.000092,7996,0,NaN,9.635258E+14,NaN,50000,0,50000,0,0.8732978,0.4397786,0,0,0,0,0,0,0.5610947,0,0,0,0.648757,0.7521369,0.4851588,0.7115945,0,0,0,0,0.552795,0
99,3.021205,0.0261629,9977.553,0,9977.553,0,8000,4.000092,7996,0,NaN,9.635261E+14,NaN,50000,0,50000,0,0.8855964,0.4461127,0,0,0,0,0,0,0.6081508,0,0,0,0.5659744,0.6509136,0.4144902,0.4260203,0,0,0,0,0.356696,0
100,3.047349,0.0261439,9977.556,0,9977.556,0,8000,4.000092,7996,0,NaN,9.635263E+14,NaN,50000,0,50000,0,0.8986077,0.4525228,0,0,0,0,0,0,0.6165515,0,0,0,0.3434316,0.6158063,0.4536552,0.5195254,0,0,0,0,0.5722159,0
101,3.07382,0.0264714,9977.553,0,9977.553,0,8000,4.000092,7996,0,NaN,9.635261E+14,NaN,50000,0,50000,0,0.9101223,0.4584081,0,0,0,0,0,0,0.5083765,0,0,0,0.5429479,0.7106283,0.5260893,0.5033361,0,0,0,0,0.5354824,0
